cluster,complaint_a,complaint_b,cosine_similarity,pearson_correlation,euclidean_distance,above_threshold
bleeding_wound,pregnancy mein bleeding ho rahi hai 8 months ki hain,cut injury bleeding,0.5635,0.5635,3.8546,True
bleeding_wound,pregnancy mein bleeding ho rahi hai 8 months ki hain,hand injury bleeding,0.6214,0.6214,3.616,True
bleeding_wound,pregnancy mein bleeding ho rahi hai 8 months ki hain,haath mein gehri chot aur khoon,0.9245,0.9245,1.6239,True
bleeding_wound,pregnancy mein bleeding ho rahi hai 8 months ki hain,chot lag kar khoon,0.4647,0.4647,3.9375,False
bleeding_wound,pregnancy mein bleeding ho rahi hai 8 months ki hain,cut injury,0.3438,0.3439,4.8469,False
bleeding_wound,pregnancy mein bleeding ho rahi hai 8 months ki hain,gir gaya seedhiyon se sar phut gaya,0.453,0.4531,3.8059,False
bleeding_wound,pregnancy mein bleeding ho rahi hai 8 months ki hain,khoon ki ulti hui aur seenay mein tees,0.878,0.878,2.0493,True
bleeding_wound,hand injury cut bleeding,cut injury bleeding,0.8547,0.8547,2.2135,True
bleeding_wound,hand injury cut bleeding,hand injury bleeding,0.8057,0.8057,2.5719,True
bleeding_wound,hand injury cut bleeding,haath mein gehri chot aur khoon,0.4185,0.4186,4.3867,False
bleeding_wound,hand injury cut bleeding,chot lag kar khoon,0.4137,0.4136,4.0616,False
bleeding_wound,hand injury cut bleeding,cut injury,0.6963,0.6963,3.2738,True
bleeding_wound,hand injury cut bleeding,gir gaya seedhiyon se sar phut gaya,0.4202,0.4202,3.8333,False
bleeding_wound,hand injury cut bleeding,khoon ki ulti hui aur seenay mein tees,0.3971,0.3971,4.4776,False
bleeding_wound,cut injury bleeding,hand injury bleeding,0.7086,0.7086,3.0591,True
bleeding_wound,cut injury bleeding,haath mein gehri chot aur khoon,0.623,0.623,3.4305,True
bleeding_wound,cut injury bleeding,chot lag kar khoon,0.5904,0.5904,3.2975,True
bleeding_wound,cut injury bleeding,cut injury,0.8147,0.8148,2.4981,True
bleeding_wound,cut injury bleeding,gir gaya seedhiyon se sar phut gaya,0.4779,0.4779,3.5033,False
bleeding_wound,cut injury bleeding,khoon ki ulti hui aur seenay mein tees,0.5711,0.5711,3.6688,True
bleeding_wound,hand injury bleeding,haath mein gehri chot aur khoon,0.6476,0.6477,3.3449,True
bleeding_wound,hand injury bleeding,chot lag kar khoon,0.4695,0.4695,3.7671,False
bleeding_wound,hand injury bleeding,cut injury,0.4385,0.4385,4.3692,False
bleeding_wound,hand injury bleeding,gir gaya seedhiyon se sar phut gaya,0.5542,0.5542,3.3624,True
bleeding_wound,hand injury bleeding,khoon ki ulti hui aur seenay mein tees,0.6075,0.6075,3.5394,True
bleeding_wound,haath mein gehri chot aur khoon,chot lag kar khoon,0.4884,0.4884,3.6281,False
bleeding_wound,haath mein gehri chot aur khoon,cut injury,0.3749,0.375,4.5505,False
bleeding_wound,haath mein gehri chot aur khoon,gir gaya seedhiyon se sar phut gaya,0.4804,0.4805,3.4571,False
bleeding_wound,haath mein gehri chot aur khoon,khoon ki ulti hui aur seenay mein tees,0.9329,0.9329,1.4426,True
bleeding_wound,chot lag kar khoon,cut injury,0.3795,0.3795,4.1733,False
bleeding_wound,chot lag kar khoon,gir gaya seedhiyon se sar phut gaya,0.3668,0.3668,3.0788,False
bleeding_wound,chot lag kar khoon,khoon ki ulti hui aur seenay mein tees,0.4162,0.4163,3.8781,False
bleeding_wound,cut injury,gir gaya seedhiyon se sar phut gaya,0.3768,0.3767,3.9402,False
bleeding_wound,cut injury,khoon ki ulti hui aur seenay mein tees,0.3151,0.3152,4.7741,False
bleeding_wound,gir gaya seedhiyon se sar phut gaya,khoon ki ulti hui aur seenay mein tees,0.4691,0.4692,3.5032,False
fracture_sprain,construction site par chot lagi haath mein fracture shak hai,khelte hue gir gaya ankle mein swelling,0.0653,0.0654,5.2331,False
fracture_sprain,construction site par chot lagi haath mein fracture shak hai,right arm fracture fall ke baad,0.4706,0.4706,4.2841,False
fracture_sprain,construction site par chot lagi haath mein fracture shak hai,leg injury sports mein,0.3997,0.3997,4.8673,False
fracture_sprain,construction site par chot lagi haath mein fracture shak hai,bike slip knee injury,0.1486,0.1486,6.0333,False
fracture_sprain,construction site par chot lagi haath mein fracture shak hai,ankle sprain sports,0.0675,0.0675,6.5183,False
fracture_sprain,construction site par chot lagi haath mein fracture shak hai,leg fracture fall,0.5324,0.5324,3.9491,True
fracture_sprain,construction site par chot lagi haath mein fracture shak hai,fracture wrist,0.2264,0.2264,5.7369,False
fracture_sprain,construction site par chot lagi haath mein fracture shak hai,pair toot gaya girnay se,0.3484,0.3485,4.4048,False
fracture_sprain,construction site par chot lagi haath mein fracture shak hai,kalai toot gayi,0.0383,0.0383,5.6439,False
fracture_sprain,khelte hue gir gaya ankle mein swelling,right arm fracture fall ke baad,0.3557,0.3557,3.5623,False
fracture_sprain,khelte hue gir gaya ankle mein swelling,leg injury sports mein,0.2979,0.2979,4.2959,False
fracture_sprain,khelte hue gir gaya ankle mein swelling,bike slip knee injury,0.326,0.326,4.5299,False
fracture_sprain,khelte hue gir gaya ankle mein swelling,ankle sprain sports,0.5594,0.5594,4.0642,True
fracture_sprain,khelte hue gir gaya ankle mein swelling,leg fracture fall,0.3881,0.3882,3.1186,False
fracture_sprain,khelte hue gir gaya ankle mein swelling,fracture wrist,0.4383,0.4383,4.1863,False
fracture_sprain,khelte hue gir gaya ankle mein swelling,pair toot gaya girnay se,0.6308,0.6308,2.2093,True
fracture_sprain,khelte hue gir gaya ankle mein swelling,kalai toot gayi,0.3886,0.3885,3.4389,False
fracture_sprain,right arm fracture fall ke baad,leg injury sports mein,0.5732,0.5731,3.6096,True
fracture_sprain,right arm fracture fall ke baad,bike slip knee injury,0.2419,0.2419,5.0438,False
fracture_sprain,right arm fracture fall ke baad,ankle sprain sports,0.292,0.292,5.1046,False
fracture_sprain,right arm fracture fall ke baad,leg fracture fall,0.8014,0.8014,2.0664,True
fracture_sprain,right arm fracture fall ke baad,fracture wrist,0.5343,0.5343,4.0024,True
fracture_sprain,right arm fracture fall ke baad,pair toot gaya girnay se,0.5801,0.5802,2.827,True
fracture_sprain,right arm fracture fall ke baad,kalai toot gayi,0.3052,0.3052,4.035,False
fracture_sprain,leg injury sports mein,bike slip knee injury,0.2343,0.2343,5.4723,False
fracture_sprain,leg injury sports mein,ankle sprain sports,0.5317,0.5318,4.4557,True
fracture_sprain,leg injury sports mein,leg fracture fall,0.6177,0.6177,3.3326,True
fracture_sprain,leg injury sports mein,fracture wrist,0.3142,0.3142,5.166,False
fracture_sprain,leg injury sports mein,pair toot gaya girnay se,0.4919,0.492,3.6842,False
fracture_sprain,leg injury sports mein,kalai toot gayi,0.2135,0.2135,4.8213,False
fracture_sprain,bike slip knee injury,ankle sprain sports,0.4773,0.4773,4.8691,False
fracture_sprain,bike slip knee injury,leg fracture fall,0.1628,0.1628,5.0251,False
fracture_sprain,bike slip knee injury,fracture wrist,0.3327,0.3327,5.3103,False
fracture_sprain,bike slip knee injury,pair toot gaya girnay se,0.2465,0.2465,4.6205,False
fracture_sprain,bike slip knee injury,kalai toot gayi,0.0807,0.0807,5.4999,False
fracture_sprain,ankle sprain sports,leg fracture fall,0.2512,0.2512,5.0274,False
fracture_sprain,ankle sprain sports,fracture wrist,0.4386,0.4386,5.0344,False
fracture_sprain,ankle sprain sports,pair toot gaya girnay se,0.341,0.341,4.6548,False
fracture_sprain,ankle sprain sports,kalai toot gayi,0.2223,0.2223,5.3082,False
fracture_sprain,leg fracture fall,fracture wrist,0.544,0.544,3.8676,True
fracture_sprain,leg fracture fall,pair toot gaya girnay se,0.7487,0.7487,1.9223,True
fracture_sprain,leg fracture fall,kalai toot gayi,0.4256,0.4256,3.3965,False
fracture_sprain,fracture wrist,pair toot gaya girnay se,0.4294,0.4294,4.1558,False
fracture_sprain,fracture wrist,kalai toot gayi,0.2303,0.2303,5.0389,False
fracture_sprain,pair toot gaya girnay se,kalai toot gayi,0.5325,0.5325,2.9206,True
dizziness_weakness,sar ghoom raha hai aur aankhen dhundlee ho rahi hain,garmi mein kaam karte hue chakkar aa gaye,0.5364,0.5363,2.8799,True
dizziness_weakness,sar ghoom raha hai aur aankhen dhundlee ho rahi hain,heat exhaustion chakkar aur weakness,0.2362,0.2362,4.3133,False
dizziness_weakness,sar ghoom raha hai aur aankhen dhundlee ho rahi hain,dizziness aur blurred vision,0.0167,0.0167,5.6882,False
dizziness_weakness,sar ghoom raha hai aur aankhen dhundlee ho rahi hain,heat stroke dizziness,0.1764,0.1765,4.9706,False
dizziness_weakness,sar ghoom raha hai aur aankhen dhundlee ho rahi hain,dizziness blurred vision,0.0,-0.0039,6.2615,False
dizziness_weakness,sar ghoom raha hai aur aankhen dhundlee ho rahi hain,vertigo dizziness,0.0146,0.0147,7.1041,False
dizziness_weakness,sar ghoom raha hai aur aankhen dhundlee ho rahi hain,garmi se chakkar aur kamzori,0.5468,0.5468,2.4651,True
dizziness_weakness,sar ghoom raha hai aur aankhen dhundlee ho rahi hain,garmi se kamzori,0.5732,0.5732,2.6887,True
dizziness_weakness,sar ghoom raha hai aur aankhen dhundlee ho rahi hain,vertigo,0.1272,0.1272,5.3976,False
dizziness_weakness,garmi mein kaam karte hue chakkar aa gaye,heat exhaustion chakkar aur weakness,0.2803,0.2802,4.4856,False
dizziness_weakness,garmi mein kaam karte hue chakkar aa gaye,dizziness aur blurred vision,0.1243,0.1243,5.7175,False
dizziness_weakness,garmi mein kaam karte hue chakkar aa gaye,heat stroke dizziness,0.1278,0.1279,5.3949,False
dizziness_weakness,garmi mein kaam karte hue chakkar aa gaye,dizziness blurred vision,0.0763,0.0763,6.3482,False
dizziness_weakness,garmi mein kaam karte hue chakkar aa gaye,vertigo dizziness,0.0054,0.0054,7.402,False
dizziness_weakness,garmi mein kaam karte hue chakkar aa gaye,garmi se chakkar aur kamzori,0.5898,0.5898,2.7248,True
dizziness_weakness,garmi mein kaam karte hue chakkar aa gaye,garmi se kamzori,0.6602,0.6602,2.6452,True
dizziness_weakness,garmi mein kaam karte hue chakkar aa gaye,vertigo,0.1201,0.1201,5.7032,False
dizziness_weakness,heat exhaustion chakkar aur weakness,dizziness aur blurred vision,0.321,0.321,5.4411,False
dizziness_weakness,heat exhaustion chakkar aur weakness,heat stroke dizziness,0.4609,0.4609,4.6244,False
dizziness_weakness,heat exhaustion chakkar aur weakness,dizziness blurred vision,0.2847,0.2847,6.0055,False
dizziness_weakness,heat exhaustion chakkar aur weakness,vertigo dizziness,0.3527,0.3527,6.4774,False
dizziness_weakness,heat exhaustion chakkar aur weakness,garmi se chakkar aur kamzori,0.4055,0.4055,3.8799,False
dizziness_weakness,heat exhaustion chakkar aur weakness,garmi se kamzori,0.4218,0.4218,3.9912,False
dizziness_weakness,heat exhaustion chakkar aur weakness,vertigo,0.4038,0.4038,5.0886,False
dizziness_weakness,dizziness aur blurred vision,heat stroke dizziness,0.7346,0.7346,3.6038,True
dizziness_weakness,dizziness aur blurred vision,dizziness blurred vision,0.9783,0.9783,1.2658,True
dizziness_weakness,dizziness aur blurred vision,vertigo dizziness,0.7556,0.7556,4.3622,True
dizziness_weakness,dizziness aur blurred vision,garmi se chakkar aur kamzori,0.1267,0.1267,5.4359,False
dizziness_weakness,dizziness aur blurred vision,garmi se kamzori,0.1425,0.1425,5.6075,False
dizziness_weakness,dizziness aur blurred vision,vertigo,0.6722,0.6722,4.1279,True
dizziness_weakness,heat stroke dizziness,dizziness blurred vision,0.7509,0.7509,3.789,True
dizziness_weakness,heat stroke dizziness,vertigo dizziness,0.8772,0.8772,3.3846,True
dizziness_weakness,heat stroke dizziness,garmi se chakkar aur kamzori,0.0998,0.0999,5.1649,False
dizziness_weakness,heat stroke dizziness,garmi se kamzori,0.1905,0.1905,5.1551,False
dizziness_weakness,heat stroke dizziness,vertigo,0.7871,0.7871,3.2187,True
dizziness_weakness,dizziness blurred vision,vertigo dizziness,0.7718,0.7718,4.2701,True
dizziness_weakness,dizziness blurred vision,garmi se chakkar aur kamzori,0.0832,0.0832,6.0623,False
dizziness_weakness,dizziness blurred vision,garmi se kamzori,0.1186,0.1186,6.1705,False
dizziness_weakness,dizziness blurred vision,vertigo,0.6812,0.6812,4.3401,True
dizziness_weakness,vertigo dizziness,garmi se chakkar aur kamzori,0.0,-0.0019,7.1527,False
dizziness_weakness,vertigo dizziness,garmi se kamzori,0.063,0.063,7.1807,False
dizziness_weakness,vertigo dizziness,vertigo,0.8723,0.8723,3.3351,True
dizziness_weakness,garmi se chakkar aur kamzori,garmi se kamzori,0.9103,0.9103,1.3258,True
dizziness_weakness,garmi se chakkar aur kamzori,vertigo,0.1073,0.1074,5.4547,False
dizziness_weakness,garmi se kamzori,vertigo,0.225,0.2251,5.3393,False
burn,aag se burn ho gaya kitchen mein,burn injury haath aur chest par,0.6357,0.6357,3.2142,True
burn,aag se burn ho gaya kitchen mein,burn injury hand aur face,0.4399,0.4399,4.1324,False
burn,aag se burn ho gaya kitchen mein,burns kitchen accident,0.2451,0.2451,6.0162,False
burn,aag se burn ho gaya kitchen mein,burn injury arm,0.627,0.627,3.256,True
burn,aag se burn ho gaya kitchen mein,burn injury,0.6064,0.6064,3.218,True
burn,aag se burn ho gaya kitchen mein,burn,0.5097,0.5097,3.5649,True
burn,aag se burn ho gaya kitchen mein,jalne ki chot haath par,0.6438,0.6438,3.1541,True
burn,aag se burn ho gaya kitchen mein,jalne ki chot,0.6064,0.6064,3.218,True
burn,burn injury haath aur chest par,burn injury hand aur face,0.6789,0.6789,2.9391,True
burn,burn injury haath aur chest par,burns kitchen accident,0.0,-0.0414,6.6993,False
burn,burn injury haath aur chest par,burn injury arm,0.7673,0.7673,2.3722,True
burn,burn injury haath aur chest par,burn injury,0.8143,0.8144,2.0198,True
burn,burn injury haath aur chest par,burn,0.6282,0.6283,2.8247,True
burn,burn injury haath aur chest par,jalne ki chot haath par,0.9138,0.9138,1.4243,True
burn,burn injury haath aur chest par,jalne ki chot,0.8143,0.8144,2.0198,True
burn,burn injury hand aur face,burns kitchen accident,0.006,0.006,6.7523,False
burn,burn injury hand aur face,burn injury arm,0.634,0.634,3.1403,True
burn,burn injury hand aur face,burn injury,0.6566,0.6566,2.9213,True
burn,burn injury hand aur face,burn,0.5477,0.5477,3.327,True
burn,burn injury hand aur face,jalne ki chot haath par,0.5997,0.5997,3.2449,True
burn,burn injury hand aur face,jalne ki chot,0.6566,0.6566,2.9213,True
burn,burns kitchen accident,burn injury arm,0.0104,0.0104,6.556,False
burn,burns kitchen accident,burn injury,0.0,-0.0084,6.3587,False
burn,burns kitchen accident,burn,0.0164,0.0164,6.306,False
burn,burns kitchen accident,jalne ki chot haath par,0.0,-0.0299,6.616,False
burn,burns kitchen accident,jalne ki chot,0.0,-0.0084,6.3587,False
burn,burn injury arm,burn injury,0.8592,0.8592,1.7833,True
burn,burn injury arm,burn,0.7263,0.7263,2.4435,True
burn,burn injury arm,jalne ki chot haath par,0.7937,0.7937,2.2062,True
burn,burn injury arm,jalne ki chot,0.8592,0.8592,1.7833,True
burn,burn injury,burn,0.8631,0.8631,1.5693,True
burn,burn injury,jalne ki chot haath par,0.8763,0.8763,1.627,True
burn,burn injury,jalne ki chot,1.0,1.0,0.0,True
burn,burn,jalne ki chot haath par,0.677,0.6771,2.589,True
burn,burn,jalne ki chot,0.8631,0.8631,1.5693,True
burn,jalne ki chot haath par,jalne ki chot,0.8763,0.8763,1.627,True
